Gamma,Tau,LR_Actor,LR_Critic,Batch_Size,Average_Reward
0.99, 0.01, 0.0005, 0.0005, 256, -638.6799237647564
1.0, 0.005, 0.0005, 0.001, 64, -645.4269592070135
0.99, 0.002, 0.0001, 0.0005, 256, -646.7491019726376
0.99, 0.005, 0.0005, 0.001, 128, -647.4199129298498
1.0, 0.005, 0.001, 0.0005, 256, -647.6948395154635
0.99, 0.002, 0.0001, 0.001, 256, -649.6122335947425
1.0, 0.01, 0.0001, 0.0005, 128, -653.8383449974623
0.99, 0.005, 0.0005, 0.001, 256, -662.7839894593685
0.995, 0.002, 0.0005, 0.001, 128, -667.735278483618
0.995, 0.01, 0.0005, 0.001, 256, -671.1760906102443
1.0, 0.002, 0.0005, 0.001, 128, -673.6338745921195
1.0, 0.002, 0.001, 0.0005, 128, -681.6307023836922
0.99, 0.01, 0.001, 0.0005, 64, -682.5547088719868
0.995, 0.01, 0.0001, 0.001, 64, -682.9567662463118
0.995, 0.002, 0.0005, 0.0005, 64, -684.5480056548156
1.0, 0.002, 0.0005, 0.0005, 256, -687.0455700387623
0.99, 0.002, 0.0005, 0.0005, 256, -687.144681562834
0.995, 0.002, 0.0001, 0.0005, 256, -692.1611767530154
1.0, 0.01, 0.001, 0.001, 256, -714.3590168755192
0.995, 0.005, 0.0005, 0.0005, 256, -714.9400171626012
1.0, 0.005, 0.0005, 0.0005, 64, -716.5527994655979
0.99, 0.01, 0.0001, 0.001, 256, -726.436469303607
0.99, 0.005, 0.0005, 0.0005, 256, -727.9901462028041
0.99, 0.005, 0.001, 0.001, 128, -732.6634863323587
0.995, 0.01, 0.0001, 0.0005, 256, -767.2012641341528
1.0, 0.01, 0.0005, 0.001, 128, -770.9216583503442
1.0, 0.01, 0.001, 0.001, 64, -782.6688441025309
0.99, 0.005, 0.001, 0.0005, 64, -788.4356393824903
0.99, 0.002, 0.0005, 0.001, 256, -798.4242982460866
0.999, 0.005, 0.001, 0.001, 64, -801.1051850690294
1.0, 0.005, 0.0001, 0.0005, 64, -801.8863983091409
0.99, 0.005, 0.0001, 0.0005, 256, -844.5258032189366
1.0, 0.002, 0.0005, 0.0005, 64, -851.1521874320854
0.99, 0.002, 0.0005, 0.0005, 64, -872.3487964823363
0.995, 0.002, 0.0001, 0.0005, 128, -875.9819748793329
1.0, 0.01, 0.0001, 0.0005, 256, -886.7631917869184
1.0, 0.002, 0.0001, 0.001, 64, -890.224489072966
1.0, 0.005, 0.0001, 0.0005, 256, -904.5232026902195
0.99, 0.002, 0.0005, 0.0005, 128, -906.4242022395579
